date,open,close,high,low,volume,code
2015-06-30,2.143,2.571,2.571,2.143,460.0,002770
2015-07-01,2.829,2.829,2.829,2.829,120.0,002770
2015-07-02,3.113,3.113,3.113,3.113,342.0,002770
2015-07-03,3.423,3.423,3.423,3.423,2426.0,002770
2015-07-06,3.765,3.765,3.765,3.765,3328.0,002770
2015-07-07,4.14,3.658,4.14,3.655,414208.0,002770
2015-07-08,3.293,3.293,3.293,3.293,47000.0,002770
2015-07-09,3.024,3.621,3.621,3.024,212434.0,002770
2015-07-10,3.984,3.984,3.984,3.984,8314.0,002770
2015-07-13,4.383,4.383,4.383,4.383,55757.0,002770
2015-07-14,4.771,4.821,4.821,4.497,107688.0,002770
2015-07-15,5.081,4.823,5.303,4.563,413728.0,002770
2015-07-16,4.341,4.57,5.032,4.341,260959.0,002770
2015-07-17,4.589,4.881,5.001,4.427,215560.0,002770
2015-07-20,4.693,4.641,4.922,4.565,186280.0,002770
2015-07-21,4.511,5.105,5.105,4.401,194223.0,002770
2015-07-22,5.214,4.995,5.449,4.847,249199.0,002770
2015-07-23,4.922,5.496,5.496,4.902,168259.0,002770
2015-07-24,5.866,6.046,6.046,5.684,306589.0,002770
2015-07-27,5.918,5.83,6.596,5.697,370578.0,002770
2015-07-28,5.251,6.088,6.283,5.246,263381.0,002770
2015-07-29,6.179,6.698,6.698,5.866,236107.0,002770
2015-07-30,6.909,7.17,7.368,6.766,315935.0,002770
2015-07-31,7.013,7.887,7.887,6.784,330040.0,002770
2015-08-03,7.9,8.677,8.677,7.704,274685.0,002770
2015-08-04,9.112,7.955,9.545,7.809,406999.0,002770
2015-08-05,7.496,8.75,8.75,7.214,335554.0,002770
2015-08-06,8.75,9.383,9.595,7.952,383029.0,002770
2015-08-07,8.891,9.18,9.907,8.734,285808.0,002770
2015-08-10,8.906,9.086,9.503,8.669,283019.0,002770
2015-08-11,9.044,9.164,9.49,8.841,230856.0,002770
2015-08-12,8.865,8.338,9.073,8.333,208213.0,002770
2015-08-13,8.082,8.088,8.325,7.691,190873.0,002770
2015-08-14,8.082,7.996,8.262,7.824,162696.0,002770
2015-08-17,7.952,7.303,7.952,7.3,154516.0,002770
2015-08-18,7.248,7.59,7.939,6.938,200700.0,002770
2015-08-19,7.431,7.462,7.848,6.922,176841.0,002770
2015-08-20,7.217,6.716,7.269,6.716,123269.0,002770
2015-08-21,6.401,6.044,6.586,6.044,102151.0,002770
2015-08-24,5.493,5.439,5.699,5.439,29629.0,002770
2015-08-25,4.894,4.896,5.885,4.894,176277.0,002770
2015-08-26,5.032,5.387,5.387,4.771,252640.0,002770
2015-08-27,5.632,5.926,5.926,5.261,267885.0,002770
2015-08-28,5.926,6.127,6.427,5.652,231398.0,002770
2015-08-31,5.918,5.514,6.101,5.514,138157.0,002770
2015-09-01,5.214,4.964,5.397,4.964,112119.0,002770
2015-09-02,4.526,4.526,5.209,4.511,131160.0,002770
2015-09-07,4.67,4.743,4.98,4.615,117895.0,002770
2015-09-08,4.534,5.217,5.217,4.534,227571.0,002770
2015-09-09,5.603,5.739,5.739,5.475,271748.0,002770
2015-09-10,5.475,5.371,5.788,5.293,205707.0,002770
2015-09-11,5.254,5.499,5.606,5.241,145832.0,002770
2015-09-14,5.501,4.949,5.658,4.949,144938.0,002770
2015-09-15,4.693,4.508,5.006,4.471,122873.0,002770
2015-09-16,4.61,4.959,4.959,4.61,127238.0,002770
2015-09-17,5.246,4.912,5.287,4.878,198120.0,002770
2015-09-18,4.954,4.975,5.05,4.81,102662.0,002770
2015-09-21,4.826,5.29,5.29,4.81,127715.0,002770
2015-09-22,5.222,5.233,5.387,5.113,142422.0,002770
2015-09-23,5.11,5.397,5.592,5.081,167077.0,002770
2015-09-24,5.371,5.428,5.473,5.287,126196.0,002770
2015-09-25,5.392,4.954,5.428,4.902,107344.0,002770
2015-09-28,5.008,5.287,5.332,5.008,91592.0,002770
2015-09-29,5.162,5.074,5.212,5.008,73506.0,002770
2015-09-30,5.141,5.055,5.186,4.962,49427.0,002770
2015-10-08,5.254,5.347,5.501,5.165,102985.0,002770
2015-10-09,5.35,5.366,5.462,5.214,109692.0,002770
2015-10-12,5.423,5.739,5.892,5.373,155485.0,002770
2015-10-13,5.632,5.749,5.783,5.585,123498.0,002770
2015-10-14,5.736,5.673,6.044,5.658,128732.0,002770
2015-10-15,5.595,5.918,5.991,5.551,131815.0,002770
2015-10-16,5.947,5.879,5.989,5.759,126767.0,002770
2015-10-19,5.882,5.83,6.098,5.72,129343.0,002770
2015-10-20,5.793,5.874,5.892,5.658,99366.0,002770
2015-10-21,5.866,5.287,6.049,5.287,146501.0,002770
2015-10-22,5.287,5.475,5.553,5.152,102053.0,002770
2015-10-23,5.478,5.569,5.606,5.418,105769.0,002770
2015-10-26,5.647,5.712,5.864,5.569,114031.0,002770
2015-10-27,5.611,5.791,5.853,5.522,127462.0,002770
2015-10-28,5.788,5.585,5.838,5.53,92416.0,002770
2015-10-29,5.632,5.595,5.681,5.522,53910.0,002770
2015-10-30,5.864,6.156,6.156,5.736,158889.0,002770
2015-11-02,6.388,6.771,6.771,6.257,243566.0,002770
2015-12-08,7.449,7.449,7.449,7.449,3901.0,002770
2015-12-09,7.822,7.814,8.194,7.431,312994.0,002770
2015-12-10,7.475,7.157,7.574,7.032,209028.0,002770
2015-12-11,7.013,6.907,7.149,6.656,161842.0,002770
2015-12-14,6.695,6.86,6.943,6.633,95827.0,002770
2015-12-15,6.844,6.893,7.092,6.8,96096.0,002770
2015-12-16,6.922,7.154,7.259,6.781,140857.0,002770
2015-12-17,7.232,7.869,7.869,7.232,180957.0,002770
2015-12-18,7.952,7.483,8.161,7.444,185579.0,002770
2015-12-21,7.3,7.498,7.665,7.222,106133.0,002770
2015-12-22,7.459,7.545,7.683,7.318,97172.0,002770
2015-12-23,7.535,7.363,7.626,7.3,93585.0,002770
2015-12-24,7.248,7.219,7.35,7.068,76094.0,002770
2015-12-25,7.222,7.509,7.665,7.222,94591.0,002770
2015-12-28,7.587,7.274,7.712,7.274,97443.0,002770
2015-12-29,7.212,7.352,7.389,7.212,50383.0,002770
2015-12-30,7.381,7.376,7.454,7.222,57225.0,002770
2015-12-31,7.326,7.17,7.399,7.092,54425.0,002770
2016-01-04,7.092,6.453,7.149,6.453,44684.0,002770
2016-01-05,5.934,6.07,6.382,5.809,77842.0,002770
2016-01-14,5.462,5.673,5.997,5.462,107578.0,002770
2016-01-15,5.475,5.105,5.548,5.105,95497.0,002770
2016-01-18,4.855,5.087,5.196,4.829,65087.0,002770
2016-01-19,5.027,5.311,5.376,4.977,69605.0,002770
2016-01-20,5.235,5.269,5.439,5.214,67248.0,002770
2016-01-21,5.11,5.267,5.579,5.11,92989.0,002770
2016-01-22,5.324,5.337,5.449,5.165,58685.0,002770
2016-01-25,5.358,5.298,5.423,5.214,47135.0,002770
2016-01-26,5.233,4.769,5.277,4.769,60268.0,002770
2016-01-27,4.758,4.503,4.758,4.302,60340.0,002770
2016-01-28,4.406,4.052,4.456,4.052,51372.0,002770
2016-01-29,3.937,4.336,4.435,3.937,54025.0,002770
2016-02-01,4.349,4.435,4.438,4.192,50216.0,002770
2016-02-02,4.745,4.878,4.878,4.706,24116.0,002770
2016-02-03,5.162,5.363,5.363,4.881,121760.0,002770
2016-02-04,5.214,5.569,5.843,5.168,118395.0,002770
2016-02-05,5.527,5.347,5.553,5.345,71943.0,002770
2016-02-15,5.16,5.366,5.488,5.045,50607.0,002770
2016-02-16,5.394,5.522,5.647,5.368,61128.0,002770
2016-02-17,5.488,5.553,5.577,5.345,64083.0,002770
2016-02-18,5.556,5.697,5.918,5.556,82179.0,002770
2016-02-19,5.632,5.702,5.767,5.632,48591.0,002770
2016-02-22,5.827,5.879,5.989,5.814,56532.0,002770
2016-02-23,5.866,5.71,5.871,5.606,49945.0,002770
2016-02-24,5.697,5.785,5.814,5.556,44749.0,002770
2016-02-25,5.785,5.207,5.785,5.207,52713.0,002770
2016-02-26,5.246,5.058,5.29,4.946,41346.0,002770
2016-02-29,5.097,4.633,5.1,4.563,44469.0,002770
2016-03-01,4.683,5.055,5.055,4.664,48974.0,002770
2016-03-02,5.131,5.47,5.525,5.058,69731.0,002770
2016-03-03,5.446,5.431,5.54,5.308,70326.0,002770
2016-03-04,5.423,5.081,5.47,4.975,59545.0,002770
2016-03-07,5.089,5.23,5.306,5.089,37327.0,002770
2016-03-08,5.212,5.238,5.251,4.902,40156.0,002770
2016-03-09,5.126,5.097,5.227,5.063,28520.0,002770
2016-03-10,5.131,5.016,5.183,5.006,26728.0,002770
2016-03-11,4.98,5.019,5.081,4.922,25179.0,002770
2016-03-14,5.084,5.28,5.373,5.084,45083.0,002770
2016-03-15,5.238,5.173,5.293,5.131,29715.0,002770
2016-03-16,5.256,5.141,5.272,5.097,27194.0,002770
2016-03-17,5.17,5.368,5.371,5.152,51388.0,002770
2016-03-18,5.371,5.574,5.652,5.371,66215.0,002770
2016-03-21,5.652,5.723,5.736,5.574,65100.0,002770
2016-03-22,5.679,6.096,6.255,5.632,96262.0,002770
2016-03-23,6.093,6.706,6.706,6.049,149177.0,002770
2016-03-24,6.774,7.034,7.167,6.643,179890.0,002770
2016-03-25,6.914,6.562,7.084,6.44,123720.0,002770
2016-03-28,6.518,6.364,6.622,6.325,94994.0,002770
2016-03-29,6.419,6.565,6.583,6.268,82940.0,002770
2016-03-30,6.643,7.222,7.222,6.57,139660.0,002770
2016-03-31,7.303,7.039,7.397,6.956,135550.0,002770
2016-04-01,6.951,7.128,7.269,6.946,103060.0,002770
2016-04-05,7.039,7.561,7.811,6.987,124376.0,002770
2016-04-06,7.418,7.584,7.704,7.35,112918.0,002770
2016-04-07,7.626,7.274,7.626,7.274,88992.0,002770
2016-04-08,7.222,7.037,7.222,6.761,89638.0,002770
2016-04-11,6.98,7.102,7.245,6.98,73850.0,002770
2016-04-12,7.006,6.701,7.006,6.565,100954.0,002770
2016-04-13,6.747,6.766,6.933,6.688,68792.0,002770
2016-04-14,6.875,7.039,7.086,6.768,68487.0,002770
2016-04-15,7.008,7.037,7.092,6.93,59001.0,002770
2016-04-18,6.935,6.844,6.938,6.805,42664.0,002770
2016-04-19,6.922,6.745,6.948,6.651,49529.0,002770
2016-04-20,6.729,6.349,6.826,6.153,77062.0,002770
2016-04-21,6.296,6.179,6.39,6.179,39909.0,002770
2016-04-22,6.278,6.646,6.719,6.231,67019.0,002770
2016-04-25,6.549,6.549,6.638,6.315,42954.0,002770
2016-04-26,6.594,6.646,6.753,6.544,44149.0,002770
2016-04-27,6.711,6.487,6.734,6.466,46875.0,002770
2016-04-28,6.487,6.531,6.57,6.343,44559.0,002770
2016-04-29,6.521,6.609,7.127,6.515,172823.0,002770
2016-05-03,6.531,6.866,7.043,6.27,220550.0,002770
2016-05-04,6.792,6.949,7.027,6.688,216298.0,002770
2016-05-05,6.871,7.644,7.644,6.792,406387.0,002770
2016-05-06,7.733,7.858,8.407,7.607,643438.0,002770
2016-05-09,7.717,7.075,7.78,7.075,346616.0,002770
2016-05-10,6.892,6.855,7.075,6.751,233335.0,002770
2016-05-11,6.949,7.163,7.513,6.792,323813.0,002770
2016-05-12,6.85,6.771,6.886,6.448,226886.0,002770
2016-05-13,6.766,6.589,6.933,6.479,167598.0,002770
2016-05-16,6.557,6.704,6.766,6.369,135230.0,002770
2016-05-17,6.651,6.866,6.866,6.557,165808.0,002770
2016-05-18,6.756,6.432,6.756,6.259,148315.0,002770
2016-05-19,6.359,6.421,6.609,6.348,113041.0,002770
2016-05-20,6.312,6.348,6.395,6.176,109651.0,002770
2016-05-23,6.374,6.484,6.583,6.364,122350.0,002770
2016-05-24,6.479,6.333,6.552,6.286,94785.0,002770
2016-05-25,6.4,6.239,6.442,6.192,92218.0,002770
2016-05-26,6.165,6.165,6.233,5.894,122059.0,002770
2016-05-27,6.171,6.228,6.301,6.139,98982.0,002770
2016-05-30,6.192,6.066,6.202,6.009,71958.0,002770
2016-05-31,6.113,6.338,6.348,6.108,128940.0,002770
2016-06-01,6.348,6.526,6.609,6.327,172749.0,002770
2016-06-02,6.505,6.834,6.98,6.432,215002.0,002770
2016-06-03,6.845,7.059,7.106,6.792,269661.0,002770
2016-06-06,7.043,6.892,7.043,6.803,153308.0,002770
2016-06-07,6.839,6.886,6.975,6.813,114276.0,002770
2016-06-08,6.881,6.714,6.907,6.693,109131.0,002770
2016-06-13,6.542,6.15,6.557,6.118,135294.0,002770
2016-06-14,6.144,6.16,6.249,6.009,75176.0,002770
2016-06-15,6.082,6.359,6.421,6.009,94540.0,002770
2016-06-16,6.364,6.239,6.411,6.223,79999.0,002770
2016-06-17,6.27,6.291,6.416,6.228,75196.0,002770
2016-06-20,6.286,6.364,6.4,6.118,80549.0,002770
2016-06-21,6.374,6.427,6.526,6.338,126410.0,002770
2016-06-22,6.312,6.437,6.453,6.28,87065.0,002770
2016-06-23,6.421,6.306,6.421,6.27,73659.0,002770
2016-06-24,6.312,6.197,6.374,5.821,102049.0,002770
2016-06-27,6.113,6.27,6.312,6.019,74551.0,002770
2016-06-28,6.223,6.333,6.343,6.176,87796.0,002770
2016-06-29,6.333,6.4,6.531,6.333,118629.0,002770
2016-06-30,6.374,6.338,6.406,6.239,85522.0,002770
2016-07-01,6.327,6.306,6.416,6.275,64138.0,002770
2016-07-04,6.244,6.374,6.39,6.218,133134.0,002770
2016-07-05,6.374,6.38,6.395,6.317,86091.0,002770
2016-07-06,6.369,6.756,6.792,6.317,226816.0,002770
2016-07-07,6.677,6.609,6.73,6.51,165470.0,002770
2016-07-08,6.589,6.495,6.589,6.463,125596.0,002770
2016-07-11,6.458,6.474,6.542,6.39,160681.0,002770
2016-07-12,6.448,6.944,6.949,6.427,351701.0,002770
2016-07-13,7.054,6.787,7.122,6.745,251105.0,002770
2016-07-14,6.751,6.782,6.96,6.704,167395.0,002770
2016-07-15,6.808,6.845,6.954,6.709,148153.0,002770
2016-07-18,6.834,6.724,6.86,6.672,92153.0,002770
2016-07-19,6.704,6.688,6.719,6.552,99433.0,002770
2016-07-20,6.667,6.688,6.813,6.662,85912.0,002770
2016-07-21,6.677,6.662,6.745,6.636,75955.0,002770
2016-07-22,6.662,6.589,6.662,6.557,71139.0,002770
2016-07-25,6.536,6.536,6.625,6.521,51417.0,002770
2016-07-26,6.542,6.657,6.662,6.542,64280.0,002770
2016-07-27,6.688,6.202,6.688,6.113,132360.0,002770
2016-07-28,6.228,6.265,6.374,6.139,72595.0,002770
2016-07-29,6.218,6.202,6.296,6.192,38551.0,002770
2016-08-01,6.165,5.967,6.171,5.894,65075.0,002770
2016-08-02,5.962,5.998,6.024,5.935,33907.0,002770
2016-08-03,6.003,6.024,6.071,5.962,38226.0,002770
2016-08-04,6.014,6.071,6.087,5.998,39124.0,002770
2016-08-05,6.045,6.035,6.097,6.03,35746.0,002770
2016-08-08,5.998,6.077,6.077,5.894,37342.0,002770
2016-08-09,6.05,6.113,6.165,6.035,43566.0,002770
2016-08-10,6.134,6.066,6.16,6.066,37306.0,002770
2016-08-11,6.035,5.951,6.092,5.946,42750.0,002770
2016-08-12,5.935,6.003,6.019,5.935,33254.0,002770
2016-08-15,6.019,6.118,6.139,5.972,66337.0,002770
2016-08-16,6.129,6.165,6.186,6.124,64384.0,002770
2016-08-17,6.165,6.134,6.181,6.071,62185.0,002770
2016-08-18,6.139,6.118,6.197,6.097,55059.0,002770
2016-08-19,6.124,6.139,6.165,6.103,42103.0,002770
2016-08-22,6.16,6.103,6.254,6.097,69570.0,002770
2016-08-23,6.04,6.071,6.103,6.03,40695.0,002770
2016-08-24,6.071,6.15,6.165,6.04,41771.0,002770
2016-08-25,6.129,6.019,6.129,5.956,59902.0,002770
2016-08-26,6.03,6.071,6.092,6.019,36620.0,002770
2016-08-29,6.071,6.071,6.124,6.061,29654.0,002770
2016-08-30,6.066,6.092,6.108,6.045,40196.0,002770
2016-08-31,6.103,6.056,6.103,6.009,36283.0,002770
2016-09-01,6.019,6.03,6.071,6.019,29244.0,002770
2016-09-02,6.009,5.956,6.035,5.941,39989.0,002770
2016-09-05,5.967,5.972,6.03,5.956,29813.0,002770
2016-09-06,5.962,6.009,6.014,5.878,42155.0,002770
2016-09-07,6.003,6.05,6.129,5.993,72511.0,002770
2016-09-08,6.04,6.097,6.113,6.024,48739.0,002770
2016-09-09,6.103,6.019,6.113,5.998,45411.0,002770
2016-09-12,5.92,5.899,6.03,5.857,49352.0,002770
2016-09-13,5.925,5.93,5.977,5.878,31294.0,002770
2016-09-14,5.915,5.857,5.93,5.836,35717.0,002770
2016-09-19,5.826,5.894,5.92,5.826,27488.0,002770
2016-09-20,5.894,5.862,5.92,5.847,30647.0,002770
2016-09-21,5.878,5.888,5.899,5.847,18625.0,002770
2016-09-22,5.909,5.915,5.93,5.878,31510.0,002770
2016-09-23,5.941,6.061,6.176,5.878,96408.0,002770
2016-09-26,6.014,5.899,6.082,5.831,66142.0,002770
2016-09-27,5.878,5.909,5.915,5.852,30756.0,002770
2016-09-28,5.904,5.868,5.93,5.852,24020.0,002770
2016-09-29,5.878,5.873,5.899,5.857,22136.0,002770
2016-09-30,5.873,5.878,5.899,5.857,20587.0,002770
2016-10-10,5.888,5.972,5.998,5.888,48539.0,002770
2016-10-11,5.983,5.998,6.035,5.956,55409.0,002770
2016-10-12,5.998,5.993,5.998,5.941,39499.0,002770
2016-10-13,5.988,6.218,6.223,5.956,186382.0,002770
2016-10-14,6.207,6.171,6.322,6.097,105048.0,002770
2016-10-17,6.16,6.009,6.197,6.003,77406.0,002770
2016-10-18,6.019,6.082,6.092,5.993,49745.0,002770
2016-10-19,6.071,6.192,6.239,6.071,93990.0,002770
2016-10-20,6.192,6.27,6.348,6.113,109502.0,002770
2016-10-21,6.223,6.27,6.385,6.165,112251.0,002770
2016-10-24,6.306,6.254,6.385,6.228,92868.0,002770
2016-10-25,6.239,6.244,6.259,6.181,61430.0,002770
2016-10-26,6.239,6.233,6.312,6.186,61230.0,002770
2016-10-27,6.228,6.139,6.228,6.113,55384.0,002770
2016-10-28,6.144,6.207,6.317,6.108,93772.0,002770
2016-10-31,6.165,6.322,6.568,6.139,143578.0,002770
2016-11-01,6.359,6.427,6.458,6.286,125200.0,002770
2016-11-02,6.374,6.437,6.583,6.364,126899.0,002770
2016-11-03,6.39,6.374,6.474,6.301,106691.0,002770
2016-11-04,6.38,6.442,6.468,6.322,85474.0,002770
2016-11-07,6.427,6.385,6.453,6.374,50808.0,002770
2016-11-08,6.385,6.385,6.479,6.353,88486.0,002770
2016-11-09,6.39,6.547,6.709,6.374,228839.0,002770
2016-11-10,6.547,6.594,6.667,6.526,147699.0,002770
2016-11-11,6.583,6.562,6.609,6.489,86040.0,002770
2016-11-14,6.62,6.594,6.714,6.495,92872.0,002770
2016-11-15,6.583,6.667,6.709,6.583,101454.0,002770
2016-11-16,6.662,6.531,6.662,6.51,100398.0,002770
2016-11-17,6.531,6.526,6.594,6.489,66022.0,002770
2016-11-18,6.505,6.51,6.552,6.432,53210.0,002770
2016-11-21,6.489,6.526,6.536,6.453,44149.0,002770
2016-11-22,6.531,6.599,6.625,6.489,70919.0,002770
2016-11-23,6.604,6.453,6.625,6.432,64403.0,002770
2016-11-24,6.468,6.453,6.505,6.28,119471.0,002770
2016-11-25,6.395,6.421,6.453,6.275,52956.0,002770
